"Id";"ZipCode";"Place"
998;1869;"Massongex"
999;1870;"Monthey"
1000;1871;"Choëx"
1001;1871;"Les Giettes"
1002;1871;"Les Giettes"
1003;1872;"Troistorrents"
1004;1872;"Troistorrents"
1005;1873;"Val-d'Illiez"
1006;1873;"Champoussin"
1007;1873;"Les Crosets"
1008;1874;"Champéry"
1009;1875;"Morgins"
1010;1880;"Bex"
1011;1880;"Frenières-sur-Bex"
1012;1880;"Frenières-sur-Bex"
1013;1880;"Fenalet-sur-Bex"
1014;1880;"Les Plans-sur-Bex"
1015;1880;"Les Posses-sur-Bex"
1016;1880;"Les Posses-sur-Bex"
1017;1882;"Gryon"
1018;1882;"Gryon"
1019;1884;"Villars-sur-Ollon"
1020;1884;"Arveyes"
1021;1884;"Huémoz"
1022;1885;"Chesières"
1023;1890;"St-Maurice"
1024;1890;"Mex VS"
1025;1891;"Vérossaz"
1026;1891;"Vérossaz"
1027;1892;"Lavey-Village"
1028;1892;"Lavey-les-Bains"
1029;1892;"Morcles"
1030;1893;"Muraz (Collombey)"
1031;1895;"Vionnaz"
1032;1896;"Vouvry"
1033;1896;"Miex"
1034;1897;"Bouveret"
1035;1897;"Les Evouettes"
1036;1897;"Les Evouettes"
1037;1898;"St-Gingolph"
1038;1899;"Torgon"
1039;1902;"Evionnaz"
1040;1902;"Evionnaz"
1041;1903;"Collonges"
1042;1904;"Vernayaz"
1043;1904;"Vernayaz"
1044;1905;"Dorénaz"
1045;1906;"Charrat"
1046;1906;"Charrat"
1047;1907;"Saxon"
1048;1908;"Riddes"
1049;1911;"Ovronnaz"
1050;1911;"Mayens-de-Chamoson"
1051;1912;"Leytron"
1052;1912;"Produit (Leytron)"
1053;1912;"Montagnon (Leytron"
1054;1912;"Dugny (Leytron)"
1055;1913;"Saillon"
1056;1914;"Isérables"
1057;1914;"Auddes-sur-Riddes"
1058;1918;"La Tzoumaz"
1059;1920;"Martigny"
1060;1920;"Martigny"
1061;1921;"Martigny-Croix"
1062;1922;"Salvan"
1063;1922;"Granges (Salvan)"
1064;1923;"Les Marécottes"
1065;1923;"Le Trétien"
1066;1925;"Finhaut"
1067;1925;"Le Châtelard VS"
1068;1926;"Fully"
1069;1927;"Chemin"
1070;1927;"Chemin"
1071;1927;"Chemin"
1072;1928;"Ravoire"
1073;1929;"Trient"
1074;1932;"Bovernier"
1075;1932;"Bovernier"
1076;1932;"Les Valettes"
1077;1933;"Sembrancher"
1078;1933;"Sembrancher"
1079;1933;"Vens(Sembrancher)"
1080;1933;"Chamoille"
1081;1933;"La Garde"
1082;1934;"Le Châble VS"
1083;1934;"Bruson"
1084;1936;"Verbier"
1085;1937;"Orsières"
1086;1938;"Champex-Lac"
1087;1941;"Vollèges"
1088;1941;"Cries (Vollèges)"
1089;1942;"Levron"
1090;1943;"Praz-de-Fort"
1091;1944;"La Fouly VS"
1092;1945;"Liddes"
1093;1945;"Fontaine Dessus"
1094;1945;"Fontaine Dessous"
1095;1945;"Dranse (Liddes)"
1096;1945;"Chandonne (Liddes)"
1097;1945;"Rive Haute(Liddes)"
1098;1945;"Fornex(Liddes)"
1099;1945;"Les Moulins VS"
1100;1945;"Vichères (Liddes)"
1101;1945;"Palasuit (Liddes)"
1102;1945;"Chez Petit(Liddes)"
1103;1946;"Bourg-St-Pierre"
1104;1947;"Versegères"
1105;1947;"Champsec"
1106;1948;"Lourtier"
1107;1948;"Fionnay"
1108;1948;"Sarreyer"
1109;1950;"Sion"
1110;1950;"Sion"
1111;1950;"Sion"
1112;1955;"Chamoson"
1113;1955;"Les Vérines"
1114;1955;"Némiaz (Chamoson)"
1115;1955;"Grugnay (Chamoson)"
1116;1955;"St-Pierre-Clages"
1117;1957;"Ardon"
1118;1958;"St-Léonard"
1119;1958;"St-Léonard"
1120;1958;"Uvrier"
1121;1958;"Uvrier"
1122;1961;"Vernamiège"
1123;1962;"Pont-de-la-Morge"
1124;1962;"Pont-de-la-Morge"
1125;1963;"Vétroz"
1126;1964;"Conthey"
1127;1965;"Roumaz (Savièse)"
1128;1965;"Granois (Savièse)"
1129;1965;"St-Germain"
1130;1965;"Ormône (Savièse)"
1131;1965;"Ormône (Savièse)"
1132;1965;"Mayens-de-la-Zour"
1133;1965;"Chandolin Savièse"
1134;1965;"Drône (Savièse)"
1135;1965;"Monteiller"
1136;1965;"Diolly (Savièse)"
1137;1965;"La Muraz (Savièse)"
1138;1965;"La Muraz (Savièse)"
1139;1966;"Fortunau (Ayent)"
1140;1966;"Luc (Ayent)"
1141;1966;"St-Romain (Ayent)"
1142;1966;"Saxonne (Ayent)"
1143;1966;"Villa (Ayent)"
1144;1966;"La Place (Ayent)"
1145;1966;"Botyre (Ayent)"
1146;1966;"Blignou (Ayent)"
1147;1966;"Argnou (Ayent)"
1148;1966;"Signèse (Ayent)"
1149;1967;"Bramois"
1150;1968;"Mase"
1151;1969;"St-Martin VS"
1152;1969;"Liez (St-Martin)"
1153;1969;"Trogne (St-Martin)"
1154;1969;"Suen (St-Martin)"
1155;1969;"Eison (St-Martin)"
1156;1971;"Grimisuat"
1157;1971;"Grimisuat"
1158;1971;"Champlan"
1159;1971;"Champlan"
1160;1972;"Anzère"
1161;1972;"Anzère"
1162;1973;"Nax"
1163;1974;"Arbaz"
1164;1975;"St-Séverin"
1165;1976;"Erde"
1166;1976;"Aven"
1167;1976;"Daillon"
1168;1977;"Icogne"
1169;1978;"Lens"
1170;1978;"Lens"
1171;1981;"Vex"
1172;1982;"Euseigne"
1173;1982;"Euseigne"
1174;1983;"Evolène"
1175;1983;"Lanna"
1176;1984;"Les Haudères"
1177;1984;"La Tour VS"
1178;1985;"La Sage"
1179;1985;"La Forclaz VS"
1180;1985;"Villa (Evolène)"
1181;1986;"Arolla"
1182;1987;"Hérémence"
1183;1988;"Thyon"
1184;1988;"Les Collons"
1185;1991;"Salins"
1186;1991;"Salins"
1187;1991;"Arvillard (Salins)"
1188;1991;"Pravidondaz"
1189;1991;"Turin (Salins)"
1190;1991;"Misériez (Salins)"
1191;1992;"Les Agettes"
1192;1992;"Les Agettes"
1193;1992;"Les Mayens-de-Sion"
1194;1992;"Les Mayens-de-Sion"
1195;1992;"Les Mayens-de-Sion"
1196;1992;"La Vernaz"
1197;1992;"Crête-à-l'Oeil"
1198;1993;"Veysonnaz"
1199;1993;"Veysonnaz"
1200;1993;"Veysonnaz"
1201;1993;"Clèbes (Nendaz)"
1202;1994;"Aproz (Nendaz)"
1203;1994;"Aproz (Nendaz)"
1204;1996;"Basse-Nendaz"
1205;1996;"Fey (Nendaz)"
1206;1996;"Bieudron (Nendaz)"
1207;1996;"Condémines (Nendaz"
1208;1996;"Saclentse"
1209;1996;"Baar (Nendaz)"
1210;1996;"Beuson (Nendaz)"
1211;1996;"Brignon (Nendaz)"
1212;1997;"Haute-Nendaz"
1213;1997;"Siviez (Nendaz)"
1214;1997;"Sornard (Nendaz)"
1215;2000;"Neuchâtel"
1216;2000;"Neuchâtel"
1217;2012;"Auvernier"
1218;2013;"Colombier NE"
1219;2013;"Colombier NE"
1220;2014;"Bôle"
1221;2014;"Bôle"
1222;2015;"Areuse"
1223;2016;"Cortaillod"
1224;2017;"Boudry"
1225;2019;"Rochefort"
1226;2019;"Chambrelien"
1227;2019;"Chambrelien"
1228;2022;"Bevaix"
1229;2023;"Gorgier"
1230;2024;"St-Aubin-Sauges"
1231;2025;"Chez-le-Bart"
1232;2027;"Montalchez"
1233;2027;"Montalchez"
1234;2027;"Fresens"
1235;2028;"Vaumarcus"
1236;2028;"Vaumarcus"
1237;2028;"Vaumarcus"
1238;2034;"Peseux"
1239;2035;"Corcelles NE"
1240;2035;"Corcelles NE"
1241;2035;"Corcelles NE"
1242;2036;"Cormondrèche"
1243;2036;"Cormondrèche"
1244;2037;"Montmollin"
1245;2037;"Montmollin"
1246;2037;"Montezillon"
1247;2042;"Valangin"
1248;2042;"Valangin"
1249;2043;"Boudevilliers"
1250;2046;"Fontaines NE"
1251;2052;"Fontainemelon"
1252;2052;"La Vue-des-Alpes"
1253;2053;"Cernier"
1254;2054;"Chézard-St-Martin"
1255;2054;"Les Vieux-Prés"
1256;2056;"Dombresson"
1257;2057;"Villiers"
1258;2058;"Le Pâquier NE"
1259;2063;"Vilars NE"
1260;2063;"Engollon"
1261;2063;"Fenin"
1262;2063;"Saules"
1263;2065;"Savagnier"
1264;2067;"Chaumont"
1265;2067;"Chaumont"
1266;2067;"Chaumont"
1267;2068;"Hauterive NE"
1268;2072;"St-Blaise"
1269;2072;"St-Blaise"
1270;2072;"St-Blaise"
1271;2073;"Enges"
1272;2073;"Enges"
1273;2074;"Marin-Epagnier"
1274;2075;"Thielle"
1275;2075;"Thielle"
1276;2075;"Wavre"
1277;2087;"Cornaux NE"
1278;2087;"Cornaux NE"
1279;2088;"Cressier NE"
1280;2103;"Noiraigue"
1281;2103;"Noiraigue"
1282;2103;"Noiraigue"
1283;2105;"Travers"
